size,cpu_bw,mem,requests_per_second,completed_requests,failed_requests,html_transfer_byte,mean_time_per_request,total_transfer_byte,transfer_rate_kbyte_per_second,rx_bytes,rx_packets,tx_bytes,tx_packets,vnf
0,0.1,256,727.01,43928.0,0.0,0.0,1.376,12080200.0,195.24,14988473.0,44059.0,7644224.0,43938.0,haproxy
0,0.1,256,748.48,45031.0,0.0,0.0,1.336,12383525.0,201.01,15364992.0,45168.0,7835882.0,45037.0,haproxy
0,0.1,256,722.66,43928.0,0.0,0.0,1.384,12080200.0,194.07,14988605.0,44061.0,7643960.0,43934.0,haproxy
0,0.1,256,734.61,44183.0,0.0,0.0,1.361,12150325.0,197.28,15075494.0,44315.0,7688330.0,44189.0,haproxy
0,0.1,256,725.59,43611.0,0.0,0.0,1.378,11993025.0,194.86,14880508.0,43744.0,7589066.0,43621.0,haproxy
0,0.1,256,707.79,42832.0,0.0,0.0,1.413,11778800.0,190.08,14614869.0,42965.0,7453388.0,42840.0,haproxy
0,0.1,256,728.21,43803.0,0.0,0.0,1.373,12045825.0,195.56,14946112.0,43938.0,7622342.0,43811.0,haproxy
0,0.1,256,726.73,43604.0,0.0,0.0,1.376,11991100.0,195.17,14877857.0,43733.0,7587716.0,43612.0,haproxy
0,0.1,256,735.7,44142.0,0.0,0.0,1.359,12139050.0,197.58,15061447.0,44273.0,7681724.0,44156.0,haproxy
0,0.1,256,706.48,42966.0,0.0,0.0,1.415,11815650.0,189.73,14660563.0,43099.0,7476704.0,42974.0,haproxy
0,0.1,256,732.31,44347.0,0.0,0.0,1.366,12195425.0,196.66,15131550.0,44481.0,7716998.0,44355.0,haproxy
0,0.1,256,724.63,43912.0,0.0,0.0,1.38,12075800.0,194.6,14983149.0,44045.0,7641308.0,43920.0,haproxy
0,0.1,256,728.95,44229.0,0.0,0.0,1.372,12162975.0,195.76,15091246.0,44362.0,7696598.0,44239.0,haproxy
0,0.1,256,731.16,44308.0,0.0,0.0,1.368,12184700.0,196.36,15118251.0,44442.0,7710080.0,44314.0,haproxy
0,0.1,256,719.79,43668.0,0.0,0.0,1.389,12008700.0,193.3,14900011.0,43802.0,7598720.0,43674.0,haproxy
1,0.1,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6201366907.0,708208.0,31197176.0,472642.0,haproxy
1,0.1,256,0.31,19.0,0.0,6049383134.0,3213.764,6049388150.0,96748.43,6095421168.0,697249.0,30557256.0,462954.0,haproxy
1,0.1,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5906837927.0,678443.0,29934316.0,453512.0,haproxy
1,0.1,256,0.31,19.0,0.0,6049383134.0,3190.807,6049388150.0,97444.5,6095434322.0,696762.0,30308016.0,459168.0,haproxy
1,0.1,256,0.3,19.0,0.0,6049383134.0,3279.404,6049388150.0,94811.92,6010413641.0,690360.0,30540310.0,462691.0,haproxy
1,0.1,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5876664219.0,671105.0,30060790.0,455429.0,haproxy
1,0.1,256,0.32,19.0,0.0,6049383134.0,3166.243,6049388150.0,98200.5,6095391820.0,696203.0,30219792.0,457832.0,haproxy
1,0.1,256,0.31,19.0,0.0,6049383134.0,3268.027,6049388150.0,95142.01,6086448133.0,694842.0,31103038.0,471225.0,haproxy
1,0.1,256,0.31,19.0,0.0,6049383134.0,3246.817,6049388150.0,95763.52,6043808479.0,689843.0,30522070.0,462417.0,haproxy
1,0.1,256,0.31,19.0,0.0,6049383134.0,3245.91,6049388150.0,95790.27,6085603835.0,699857.0,30613012.0,463788.0,haproxy
1,0.1,256,0.31,19.0,0.0,6049383134.0,3244.822,6049388150.0,95822.39,6007103613.0,687534.0,30138136.0,456554.0,haproxy
1,0.1,256,0.31,19.0,0.0,6049383134.0,3189.209,6049388150.0,97493.32,6095564568.0,697749.0,30667386.0,464599.0,haproxy
1,0.1,256,0.31,19.0,0.0,6049383134.0,3244.378,6049388150.0,95835.52,6056201331.0,693005.0,30415174.0,460799.0,haproxy
1,0.1,256,0.31,19.0,0.0,6049383134.0,3239.683,6049388150.0,95974.39,6089798051.0,698389.0,30811244.0,466772.0,haproxy
1,0.1,256,0.3,18.0,0.0,5730994548.0,3353.336,5730999300.0,92721.57,5774541118.0,658453.0,28881786.0,437557.0,haproxy
1,0.1,256,0.31,19.0,0.0,6049383134.0,3246.144,6049388150.0,95783.36,6015824813.0,688806.0,30155110.0,456861.0,haproxy
1,0.1,256,0.31,19.0,0.0,6049383134.0,3247.878,6049388150.0,95732.24,6074726755.0,696457.0,30458986.0,461447.0,haproxy
1,0.1,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6003489465.0,690376.0,30833758.0,467127.0,haproxy
1,0.1,256,0.31,19.0,0.0,6049383134.0,3204.752,6049388150.0,97020.48,6095669176.0,700373.0,30371932.0,460138.0,haproxy
1,0.1,256,0.3,18.0,0.0,5730994548.0,3381.072,5730999300.0,91960.96,5774945570.0,662955.0,29527404.0,447322.0,haproxy
0,0.1,512,748.33,45271.0,0.0,0.0,1.336,12449525.0,200.97,15446568.0,45404.0,7877774.0,45279.0,haproxy
